rpm,v_inf,inflow_angle_deg,inflow_azimuth_deg,Fx_true,Fy_true,Fz_true,Mx_true,My_true,Mz_true,J,Ct,Cq,Cp,eta,CT,CQ,CP,FM,thrust_per_power,disk_loading,thrust,torque,power_shaft,v_induced_mean,tip_mach
27309.072,0,60,0,-4.33680869e-19,1.73472348e-18,0.0902211865,2.71050543e-20,2.71050543e-20,-0.00032601777,0,0.374701974,0.0433835365,0.272586799,0,0.0483388545,0.011193485,0.011193485,0.67137353,0.0967679859,117.931851,0.0902211865,0.00032601777,0.9323454,7.79267448,0.131142982
27309.072,0.5,60,0,-0.000517122301,-4.91515045e-05,0.0894660036,-1.2795233e-05,-1.03470646e-05,-0.000325831994,0.0175991036,0.371565588,0.0433588151,0.27243147,0.0240031788,0.0479342414,0.0111871065,0.0111871065,0.66333974,0.0960127153,116.94472,0.0894660036,0.000325831994,0.931814118,7.63814538,0.132417487
27309.072,1,60,0,-0.0010423195,-0.000107171173,0.0886910959,-2.60119856e-05,-1.9961716e-05,-0.000325359369,0.0351982073,0.368347281,0.0432959223,0.272036303,0.0476596829,0.0475190601,0.0111708794,0.0111708794,0.655691268,0.0953193658,115.931806,0.0886910959,0.000325359369,0.930462504,7.47343373,0.13369599
27309.072,1.5,60,0,-0.00156464235,-0.000163396077,0.0880017473,-3.94301302e-05,-2.86081709e-05,-0.000324920319,0.0527973109,0.365484314,0.0432374975,0.271669209,0.0710297242,0.0471497198,0.0111558051,0.0111558051,0.64893733,0.0947062989,115.03073,0.0880017473,0.000324920319,0.92920691,7.30408207,0.134978377
27309.072,2,60,0,-0.00208388934,-0.000216387251,0.0873977533,-5.3078665e-05,-3.62669972e-05,-0.00032455735,0.0703964145,0.362975837,0.0431891968,0.271365727,0.0941614765,0.0468261109,0.0111433429,0.0111433429,0.642986182,0.0941614765,114.241225,0.0873977533,0.00032455735,0.928168891,7.13144265,0.136264539
27309.072,2.5,60,0,-0.00261280976,-0.00027257138,0.0868094246,-6.71791441e-05,-4.30624125e-05,-0.000324129525,0.0879955182,0.360532421,0.0431322657,0.271008018,0.117063832,0.0465108952,0.011128654,0.011128654,0.637344744,0.0936510659,113.472196,0.0868094246,0.000324129525,0.926945399,6.95371614,0.13755437
27309.072,3,60,0,-0.00314317904,-0.000327346856,0.0862656836,-8.16060361e-05,-4.89240372e-05,-0.000323736426,0.105594622,0.358274184,0.0430799556,0.270679344,0.139766214,0.0462195687,0.0111151574,0.0111151574,0.632132646,0.0931774757,112.761449,0.0862656836,0.000323736426,0.925821213,6.77357353,0.138847768
27309.072,3.5,60,0,-0.00370258173,-0.000385566877,0.0856838641,-9.65673528e-05,-5.3952779e-05,-0.000323212436,0.123193725,0.355857801,0.0430102276,0.27024123,0.162223389,0.0459078405,0.0110971667,0.0110971667,0.626762767,0.0926990795,112.000929,0.0856838641,0.000323212436,0.924322707,6.58674576,0.140144634
27309.072,4,60,0,-0.0042642877,-0.000441851106,0.0851006441,-0.000111883947,-5.8077944e-05,-0.000322668044,0.140792829,0.353435602,0.0429377847,0.269786058,0.184446886,0.045595362,0.0110784755,0.0110784755,0.621421108,0.092223443,111.238578,0.0851006441,0.000322668044,0.922765854,6.39783084,0.141444873
27309.072,4.5,60,0,-0.00482736806,-0.000497012887,0.0845366843,-0.000127462967,-6.13230987e-05,-0.000322157237,0.158391933,0.351093394,0.0428698112,0.269358968,0.206454464,0.0452932027,0.0110609375,0.0110609375,0.616229676,0.0917575394,110.501403,0.0845366843,0.000322157237,0.92130505,6.20896771,0.142748391
27309.072,5,60,0,-0.00539794572,-0.000547133837,0.0839939887,-0.000143327233,-6.36796182e-05,-0.000321687524,0.175991036,0.348839498,0.042807306,0.268966236,0.228254021,0.0450024363,0.0110448104,0.0110448104,0.611196383,0.0913016082,109.792023,0.0839939887,0.000321687524,0.919961765,6.02121843,0.144055102
27309.072,5.5,60,0,-0.0059738759,-0.000593999109,0.0834719051,-0.000159429081,-6.52266306e-05,-0.000321270896,0.19359014,0.346671207,0.0427518648,0.268617889,0.249842361,0.0447227135,0.0110305059,0.0110305059,0.606291932,0.0908517676,109.109586,0.0834719051,0.000321270896,0.918770292,5.83573741,0.145364918
27309.072,6,60,0,-0.00655975216,-0.000636883714,0.0829581302,-0.000175778515,-6.60194617e-05,-0.000320877368,0.211189244,0.344537424,0.0426994976,0.268288856,0.271209916,0.0444474424,0.0110169945,0.0110169945,0.601439617,0.0904033052,108.438009,0.0829581302,0.000320877368,0.91764488,5.65251581,0.146677755
27309.072,6.5,60,0,-0.00715402694,-0.000679607541,0.0824546765,-0.000192347889,-6.60962505e-05,-0.000320517046,0.228788347,0.342446506,0.0426515492,0.267987587,0.292355966,0.0441777011,0.0110046233,0.0110046233,0.59664292,0.0899556819,107.779924,0.0824546765,0.000320517046,0.916614434,5.47278423,0.147993535
27309.072,7,60,0,-0.00775846748,-0.000717622159,0.0819562921,-0.000209113543,-6.54836071e-05,-0.000320171852,0.246387451,0.340376642,0.0426056138,0.267698967,0.313279256,0.0439106759,0.0109927714,0.0109927714,0.59187908,0.0895083588,107.128465,0.0819562921,0.000320171852,0.915627247,5.2969518,0.149312179
27309.072,7.5,60,0,-0.00837289846,-0.000750053299,0.0814618564,-0.000226031047,-6.42585431e-05,-0.000319838077,0.263986554,0.338323177,0.0425611981,0.267419895,0.333979527,0.0436457664,0.0109813116,0.0109813116,0.587143117,0.0890612071,106.482168,0.0814618564,0.000319838077,0.914672719,5.12562646,0.150633611
27309.072,8,60,0,-0.00899921581,-0.000778205605,0.0809560567,-0.000243085845,-6.2489122e-05,-0.000319467705,0.281585658,0.336222516,0.0425119122,0.267110222,0.354443337,0.0433747682,0.0109685952,0.0109685952,0.582357594,0.0886108341,105.821016,0.0809560567,0.000319467705,0.913613527,4.95830961,0.151957759
27309.072,8.5,60,0,-0.00963284129,-0.000804219849,0.0804535066,-0.00026023897,-6.02382885e-05,-0.000319098753,0.299184762,0.33413535,0.0424628154,0.266801738,0.374690982,0.043105511,0.0109559276,0.0109559276,0.577610454,0.0881625841,105.164112,0.0804535066,0.000319098753,0.912558399,4.79629578,0.153284553
27309.072,9,60,0,-0.0102713417,-0.000832404636,0.0799513739,-0.000277453369,-5.75753697e-05,-0.000318726668,0.316783865,0.332049919,0.0424133017,0.266490634,0.394715774,0.0428364776,0.0109431525,0.0109431525,0.572879365,0.0877146164,104.507754,0.0799513739,0.000318726668,0.911494311,4.63975955,0.154613924
27309.072,9.5,60,0,-0.0109173929,-0.000856984194,0.0794423556,-0.000294700267,-5.45007673e-05,-0.000318317777,0.334382969,0.32993589,0.0423588901,0.266148756,0.414523608,0.0425637549,0.0109291136,0.0109291136,0.568146011,0.087268128,103.842395,0.0794423556,0.000318317777,0.910324964,4.48847214,0.155945807
27309.072,10,60,0,-0.0115668779,-0.000879522454,0.0789347736,-0.000311925883,-5.10801992e-05,-0.000317897271,0.351982073,0.327827827,0.0423029329,0.265797167,0.434126215,0.0422918018,0.010914676,0.010914676,0.563453962,0.0868252431,103.178913,0.0789347736,0.000317897271,0.909122402,4.34279625,0.157280138
