rpm,v_inf,inflow_angle_deg,inflow_azimuth_deg,Fx_true,Fy_true,Fz_true,Mx_true,My_true,Mz_true,J,Ct,Cq,Cp,eta,CT,CQ,CP,FM,thrust_per_power,disk_loading,thrust,torque,power_shaft,v_induced_mean,tip_mach
6000,0,0,0,-5.42101086e-20,1.08420217e-19,0.00414159183,-8.47032947e-22,3.38813179e-21,-1.83220155e-05,0,0.356333067,0.0505089463,0.317357069,0,0.0459691527,0.0130319282,0.0130319282,0.534781129,0.359761082,5.41364629,0.00414159183,1.83220155e-05,0.0115120619,1.66318088,0.0288130588
7000,0,0,0,-5.42101086e-20,1.62630326e-19,0.00566830289,-1.69406589e-21,3.38813179e-21,-2.44333343e-05,0,0.358301231,0.0494862129,0.310931046,0,0.0462230579,0.0127680504,0.0127680504,0.550361979,0.316478094,7.40927356,0.00566830289,2.44333343e-05,0.0179105695,1.94666395,0.0336152352
8000,0,0,0,-5.42101086e-20,1.08420217e-19,0.0074379938,0,5.92923063e-21,-3.13824064e-05,0,0.359970714,0.0486635548,0.305762132,0,0.0464384315,0.0125557945,0.0125557945,0.563582003,0.282911737,9.72250988,0.0074379938,3.13824064e-05,0.0262908633,2.23081242,0.0384174117
9000,0,0,0,5.42101086e-20,2.16840434e-19,0.00945158458,0,0,-3.91636031e-05,0,0.361418964,0.0479838603,0.301491486,0,0.0466252647,0.012380425,0.012380425,0.575017967,0.256065375,12.3545578,0.00945158458,3.91636031e-05,0.0369108263,2.51553879,0.0432195881
10000,0,0,0,-2.16840434e-19,1.62630326e-19,0.0117099001,-1.69406589e-21,5.08219768e-21,-4.77724452e-05,0,0.362697466,0.0474105544,0.297889299,0,0.0467901993,0.012232505,0.012232505,0.585062068,0.234070726,15.3064956,0.0117099001,4.77724452e-05,0.0500271876,2.80077797,0.0480217646
11000,0,0,0,-2.16840434e-19,2.16840434e-19,0.0142136947,-3.38813179e-21,8.47032947e-21,-5.72053171e-05,0,0.363842095,0.0469189829,0.294800664,0,0.0469378634,0.0121056735,0.0121056735,0.59399258,0.215699572,18.5793093,0.0142136947,5.72053171e-05,0.0658957947,3.08647985,0.0528239411
12000,0,0,0,-3.25260652e-19,3.25260652e-19,0.0169636684,6.77626358e-21,6.77626358e-21,-6.74592747e-05,0,0.364878785,0.0464918403,0.292116848,0,0.0470716028,0.0119954655,0.0119954655,0.602013701,0.200109747,22.1739138,0.0169636684,6.74592747e-05,0.0847718247,3.37260531,0.0576261175
13000,0,0,0,0,3.25260652e-19,0.0199604803,-6.77626358e-21,1.35525272e-20,-7.85319123e-05,0,0.36582688,0.0461165734,0.289758976,0,0.0471939128,0.011898642,0.011898642,0.609279522,0.186703665,26.0911708,0.0199604803,7.85319123e-05,0.106909954,3.65912283,0.062428294
14000,0,0,0,-1.08420217e-19,5.42101086e-19,0.0232047566,3.38813179e-21,1.01643954e-20,-9.04212649e-05,0,0.366701154,0.0457838246,0.287668254,0,0.0473066996,0.0118127888,0.0118127888,0.615908984,0.17504503,30.3318988,0.0232047566,9.04212649e-05,0.132564498,3.94600703,0.0672304704
15000,0,0,0,-2.16840434e-19,4.33680869e-19,0.0266970993,-6.77626358e-21,1.35525272e-20,-0.000103125738,0,0.367513156,0.0454864572,0.28579984,0,0.0474114528,0.0117360643,0.0117360643,0.621995748,0.164807561,34.8968847,0.0266970993,0.000103125738,0.16198953,4.23323699,0.0720326469
16000,0,0,0,-6.50521303e-19,1.30104261e-18,0.0304380898,-2.03287907e-20,2.37169225e-20,-0.00011664405,0,0.368272051,0.0452189202,0.284118855,0,0.0475093549,0.0116670365,0.0116670365,0.627614756,0.155742164,39.7868884,0.0304380898,0.00011664405,0.195438982,4.52079554,0.0768348234
17000,0,0,0,0,4.33680869e-19,0.0344282956,-6.77626358e-21,2.37169225e-20,-0.000130975195,0,0.368985255,0.0449768228,0.282597712,0,0.0476013626,0.0116045724,0.0116045724,0.632826907,0.147655262,45.0026517,0.0344282956,0.000130975195,0.233166736,4.80866827,0.0816369998
18000,0,0,0,-2.16840434e-19,8.67361738e-19,0.0386682712,-1.35525272e-20,1.35525272e-20,-0.000146118405,0,0.369658823,0.0447566398,0.281214262,0,0.0476882571,0.0115477625,0.0115477625,0.637682259,0.140394053,50.5448995,0.0386682712,0.000146118405,0.275426704,5.09684329,0.0864391763
